Id,Score,Episodes,Min_Duration,Year,Hentai,Prequel
671,6.59,13,24.0,2006,0.0,0.0
673,6.93,27,1.0,2005,0.0,0.0
678,7.12,26,25.0,1998,0.0,1.0
679,6.59,3,30.0,1996,0.0,0.0
682,6.56,12,22.0,2001,0.0,0.0
685,6.44,13,24.0,2004,0.0,1.0
687,6.99,52,24.0,2002,0.0,0.0
688,6.72,12,23.0,2004,0.0,0.0
689,6.95,1,24.0,2005,0.0,0.0
690,7.15,26,25.0,1997,0.0,0.0
691,7.48,124,25.0,1989,0.0,0.0
693,6.19,12,24.0,2004,0.0,0.0
694,6.78,24,24.0,2005,0.0,0.0
695,5.71,2,30.0,2001,0.0,0.0
696,7.44,26,23.0,1995,0.0,0.0
704,6.75,1,20.0,2003,0.0,0.0
706,6.52,13,24.0,2005,0.0,1.0
708,7.57,26,24.0,2002,0.0,0.0
709,7.71,52,25.0,2003,0.0,0.0
710,7.34,9,13.0,2006,0.0,0.0
711,6.73,1,140.0,1977,0.0,0.0
712,7.24,50,25.0,2005,0.0,0.0
713,7.26,1,91.0,2005,0.0,0.0
715,6.45,3,30.0,1998,0.0,0.0
718,6.46,16,7.0,1998,0.0,0.0
719,7.14,2,54.0,1992,0.0,0.0
