Id,Score,Episodes,Min_Duration,Year
932,6.06,1,11.0,2004
933,6.98,4,24.0,2006
934,7.95,26,24.0,2006
935,7.27,24,24.0,2006
936,6.88,1,97.0,2005
937,6.6,1,66.0,1988
938,7.06,4,27.0,2000
940,7.27,26,23.0,2006
941,6.98,12,24.0,2006
942,6.77,13,24.0,2006
943,6.43,12,24.0,2006
944,7.33,24,23.0,2006
949,7.89,6,30.0,1988
950,6.49,1,42.0,2005
951,7.64,142,24.0,1990
952,6.24,12,22.0,2001
953,7.26,11,22.0,2006
957,7.94,39,25.0,2006
958,7.17,25,24.0,2002
959,7.36,26,24.0,2001
961,7.1,35,25.0,1995
962,8.2,26,24.0,2006
964,5.54,8,13.0,2004
965,6.77,13,24.0,2006
966,7.69,1000,21.0,1992
967,7.99,109,25.0,1984
969,7.6,26,25.0,2006
970,7.37,47,23.0,1991
971,7.0,50,24.0,2003
972,6.7,2,30.0,2002
973,6.58,24,24.0,2006
974,7.23,1,53.0,2004
975,7.35,2,29.0,1998
976,7.16,2,32.0,2002
977,5.44,1,45.0,1996
978,7.68,13,25.0,1998
979,6.55,1,90.0,1999
980,6.29,26,12.0,2002
981,6.91,4,29.0,2005
982,5.84,3,29.0,2002
984,6.8,2,30.0,1993
985,7.72,1,48.0,1993
986,7.57,1,47.0,1990
987,6.54,1,44.0,1997
990,7.15,13,25.0,2006
991,5.66,3,30.0,2001
992,7.1,13,25.0,1999
993,6.92,1,29.0,1999
995,7.95,13,23.0,2006
996,7.92,34,24.0,1996
997,7.68,1,60.0,1994
998,7.03,26,23.0,1994
999,6.45,3,28.0,1996
1000,7.71,42,25.0,1978
1002,7.67,6,30.0,2004
1003,7.53,3,24.0,2005
1004,7.33,1,4.0,2002
1005,6.61,26,22.0,2001
1006,7.43,1,94.0,1996
1007,7.75,6,30.0,1993
1008,7.63,2,30.0,1994
1010,7.38,1,31.0,1994
1011,7.67,3,26.0,1995
1013,7.23,24,25.0,2006
1014,7.02,2,24.0,2003
1015,7.69,1,30.0,2006
1016,7.09,2,30.0,1993
1017,7.17,24,25.0,1998
1018,6.82,23,24.0,1999
1019,6.57,13,24.0,2002
1020,6.91,3,30.0,2004
1021,7.4,44,24.0,1999
1022,6.92,12,24.0,1998
1023,8.03,4,23.0,2004
1024,6.87,2,30.0,1999
1025,7.01,13,25.0,1999
1028,6.92,1,105.0,2001
1029,7.48,1,118.0,1991
1030,7.34,1,119.0,1994
1032,6.81,1,80.0,1990
1033,8.27,1,87.0,2002
1034,7.53,1,121.0,1987
1036,5.98,2,30.0,1998
1041,6.44,1,46.0,1992
1042,6.45,1,54.0,1996
1043,6.72,2,50.0,1992
1044,6.52,1,82.0,1968
1045,7.03,12,24.0,1996
1046,7.04,12,24.0,1997
1047,7.49,1,6.0,1995
1048,6.38,13,25.0,2001
1049,6.92,1,63.0,1982
1050,7.5,76,25.0,2003
1051,7.04,4,32.0,1998
1055,5.98,6,6.0,2003
1056,6.13,1,19.0,2001
1057,6.26,16,3.0,1999
1060,7.4,24,8.0,1999
1062,6.47,27,1.0,1999
1064,7.31,7,30.0,2001
1065,8.02,101,25.0,1985
1066,7.11,4,6.0,2006
1067,6.58,12,25.0,2006
1069,7.45,40,23.0,1977
1070,6.58,25,24.0,2006
1072,7.41,5,11.0,2002
1074,6.77,1,26.0,2005
1078,7.34,1,10.0,2000
1079,7.05,4,34.0,1995
1080,7.21,5,37.0,2002
1081,7.36,13,25.0,2002
1082,6.76,24,24.0,2004
1084,6.01,2,29.0,2002
1085,6.47,3,40.0,2004
1086,7.18,26,23.0,2004
1088,7.94,36,25.0,1982
1089,7.97,1,115.0,1984
1090,7.3,1,140.0,1981
1091,7.39,1,135.0,1981
1092,7.78,1,140.0,1982
1094,7.29,1,49.0,2000
1095,7.55,1,99.0,1989
1096,7.9,1,108.0,1993
1097,5.97,13,26.0,2003
1098,5.97,13,23.0,2001
1101,7.14,1,59.0,1997
1103,6.69,13,25.0,2003
1104,6.95,13,25.0,2004
1105,5.62,6,3.0,2002
1106,5.96,1,28.0,1997
1107,6.44,1,82.0,1987
1108,7.13,26,24.0,1999
1109,6.68,1,24.0,2004
1110,7.09,39,25.0,2004
1111,6.9,1,86.0,2002
1112,6.8,1,78.0,2001
1116,7.14,1,99.0,1994
1117,7.36,1,80.0,1999
1118,7.09,1,91.0,2000
1119,6.92,1,79.0,2001
1120,7.18,1,74.0,2002
1121,6.76,1,81.0,2003
1122,6.98,1,98.0,2004
1123,6.72,25,24.0,2005
1124,7.14,1,25.0,2000
1126,7.23,13,47.0,2001
1127,6.75,12,23.0,2002
1128,6.97,12,23.0,2003
1130,6.54,1,100.0,1986
1132,7.15,50,23.0,2002
1133,7.18,26,24.0,2002
1135,7.02,1,60.0,2005
1136,6.6,26,24.0,1999
1137,6.98,32,23.0,2000
1138,7.07,52,24.0,1999
1140,7.11,1,95.0,2006
1141,6.54,1,136.0,2002
1142,8.26,12,23.0,2006
1143,6.56,1,24.0,2003
1145,7.19,25,23.0,2001
1146,7.37,1,43.0,1993
1147,7.26,1,30.0,2005
