ID,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Favorites,Title_Eng,Title,Score,Ranked,Members,Popularity,Synopsis
2991,OVA,1,Finished Airing,"Mar 16, 2001",Unknown,Obtain Future,Adult Source Media,add some,Unknown,Unknown,23 min.,Rx - Hentai,4,Unknown,Harumi-chan no Oita,5.19,N/A,3269,9434,Wafaru is a guy next door. One day he saw a little innocent looking girl in his room. Her name is Harumi. She asked Wafaru if she could stay with him. She didn't have anywhere to go. Because of her innocence she doesn't know anything about a man's body and even her body. Wafaru showed her his member and explained to her it was his pet. She loves playing with it so much without knowing what it really is. Wafaru cannot live with the lies he continues to tell her. In a fit of guilt he has way with her without revealing his secret.
2189,OVA,6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",Unknown,Green Bunny,NuTech Digital,Arms,Original,"Supernatural, Hentai",27 min. per ep.,Rx - Hentai,13,Inma Seiden: The Legend of the Beast of Lust,Shinseiki Inma Seiden,6.06,N/A,2947,9722,"As the related Kameyama and Ootori families battle to lead Ootori Academy, sinister goings-on complicate their internal struggle. Terrifying sexual assaults are taking place, with the assailant concealing his identity with a foreboding iron mask. Sena is attacked by tentacles and a demon, and then the masked man appears before Mao, who tries to fight him off. When she fails to succeed, Hitomi Kameyama comes to her rescue, but the horror has just begun."
2535,OVA,3,Finished Airing,"Jan 25, 2001 to Jun 27, 2001",Unknown,add some,add some,Yumeta Company,Visual novel,"Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,1,Unknown,Angelique: Seichi yori Ai wo Komete,6.03,9124,2893,9775,The queen is collecting some jewels that apparently endanger the whole universe if they fall into the wrong hands. But Zephel screws up and loses one of the jewels. What should he do now?
3140,OVA,1,Finished Airing,"Mar 25, 2001",Unknown,Shinyusha,Central Park Media,Sonsan Kikaku,Manga,"Fantasy, Hentai",30 min.,Rx - Hentai,7,City of Sin,Ryoujoku no Machi: Kyouen no Ceremony,5.47,N/A,2846,9826,"There goes the neighborhood! A barbaric warrior king seizes the beautiful Queen Beatrice. As his soldiers ravage her kingdom, they introduce the city wenches to a variety of exotic sexual acts. Soon, the haughty queen and her handmaids are begging for more, and the city becomes a carnal capital of debauchery and lust!"
3587,OVA,3,Finished Airing,"Feb 23, 2001 to Sep 21, 2001",Unknown,Pink Pineapple,NuTech Digital,Production D.M.H,Visual novel,Unknown,27 min. per ep.,Rx - Hentai,3,Unknown,Isaku: Respect,5.44,N/A,2407,10321,"Kotomi was looking forward to a fun summer vacation. Until she found the note in her bedroom. Filled with extremely personal and revealing information about her, Kotomi is forced to follow the note's instructions and go to the old school building. Once there, she discovers that she's not the only one. 

Many of her classmates including the headstrong Miyuki are also there. But when everyone is suddenly trapped inside the building and girls start disappearing, it's only the beginning of the nightmare. 

A tale of violence, perversion and lust, filled with hardcore sex and unusual sexual fetishes!"
828,OVA,2,Finished Airing,"Mar 21, 2001 to Jun 21, 2001",Unknown,Milky Animation Label,Central Park Media,Office AO,Visual novel,Unknown,28 min. per ep.,Rx - Hentai,1,Love Lessons,Jinshin Yuugi,5.67,N/A,2254,10555,"Anything you want... for a price. 

The Trainer will shape any woman into the culmination of your most erotic fantasies. Watch the parade of beautiful females that come to him to be transformed into the ultimate object of desire. Naughty, nice, playful, or passionate, each one is eager to please, and hand-tailored to fit your needs!"
3300,OVA,6,Finished Airing,"Mar 25, 2001 to Oct 25, 2002",Unknown,Lemon Heart,NuTech Digital,Arms,Visual novel,"Action, Comedy, Fantasy, Hentai",29 min. per ep.,Rx - Hentai,4,Romance is in the Flash of the Sword II,Romance wa Tsurugi no Kagayaki II,6.03,N/A,2179,10658,"Keith is an honorable thief, but also a descendant of the legendary Shadow Blade. Employed as a guide for a sultry seductress - he finds himself soon wrapped up in much more than he bargained for. A one-night stand turns into the resurrection ritual for a demon?! He's really got his work cut out for him..."
3536,OVA,2,Finished Airing,"Feb 11, 2001 to Jan 2, 2002",Unknown,D3,Critical Mass Video,add some,Unknown,"Horror, Hentai",25 min. per ep.,Rx - Hentai,2,Midnight Strike Force,Youshou,5.18,N/A,2145,10703,"Justice has never been so naked!

A super-secret cult of lesbians performs erotic experiments on bodies from the local hospital! Their purpose: to revive the spirit of their ancient leader in a virile human form. Now it's up to the Midnight Strike Force, a team of busty justice fighters, to go undercover (and under the covers) to stop the nefarious acolytes before they succeed in their diabolically dirty schemes!"
4541,OVA,2,Finished Airing,"Jan 18, 2001 to May 1, 2001",Unknown,Five Ways,NuTech Digital,KKC Animation Production,Manga,Unknown,28 min. per ep.,Rx - Hentai,4,Unknown,Vicious,5.79,N/A,2136,10726,"Angela, a beautiful young woman, is trapped in a loveless existence. Hate is the only word to describe her feelings for her cold-blooded father who forces himself on the family maid, Bridget. However, along with her budding adolescence she finds lust and love with John, the Butler."
3377,OVA,2,Finished Airing,"Mar 16, 2001 to Jun 13, 2001",Unknown,Digital Works,Critical Mass Video,Y.O.U.C,Visual novel,Unknown,31 min. per ep.,Rx - Hentai,4,Holy Virgins,Tres Marias: Sannin no Sei Shojo,5.38,N/A,2031,10872,"The locals know all about Dr. Fuwa. His reputation for taking advantage of his female patients has left him little to do except his nurse Megumi. When he`s suddenly called in to investigate a mysterious illness that`s been affecting the nuns on a remote island, Dr. Fuwa`s certainly not above having a little fun with the patients – each and every one of them a cute little nun-in-training. But will he be able to uncover the truth behind their terrible condition?"
